_name,GOG Delta Cash no-beta,GOG Cash Gamma (USD),Vega curr. global,Theta curr. global,GOG IR01 (USD),GOG CR01 (USD),GOG PV10% Risky,GOG VoD0 (USD),GOG RR01 (USD),Issuer,Number of securities,Asset Value curr. global,Strike,Underlying Spot,Delta,Delta Cash,FX Rate,GOG FX,FX Delta,TYPESICO,Notional (bonds),Notional (swaps),Clearing ID,Contract size,Instrument type,GOG Instrument Name,Epsilon curr. global,Weighted Vega,Beta,GOG CB Premium (USD),Delta curr. global,Delta long,Delta short,Vega long,Vega short,REF:RIC,GOG_IT Portfolio/Position Code,SMOBook,Allotment,Currency,Nominal,GOG MARK (DLY),Underlying Currency,Instrument code,Folio Path (SLOW!!)
USD/ZAR,,,,-57.16,,,,,,,"-320,984.23",,,,1.00,,0.07,14.23,,,0.00,0.00,,1.00,Forex,USD/ZAR,,,,,,,,,,,"194,594.00",ACBHG003,FX,ZAR,,14.22,,67473661,/1/11455/11457/11458/17455/18498/17975
USD/CHF,,,,0.82,,,,,,,"-6,743.53",,,,1.00,,1.01,0.99,,,0.00,0.00,,1.00,Forex,USD/CHF,,,,,,,,,,,"194,597.00",ACBHG003,FX,CHF,,0.99,,67472494,/1/11455/11457/11458/17455/18498/17975
HKD/CNY,,,,-31.99,,,,,,,"567,981.02",,,,1.00,,0.14,6.94,,,0.00,0.00,,1.00,Forex,HKD/CNY,,,,,,,,,,,-412.00,ACBHG003,FX,CNY,,0.89,,67417618,/1/11455/11457/11458/17455/18495/17756/20139
INR/USD,,,,-22.56,,,,,,,"10,469,060.38",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,INR/USD,,,,,,,,,,,-384.00,ACBHG003,FX,USD,,0.02,,67418032,/1/11455/11457/11458/17455/18357
USD/JPY,,,,-249.06,,,,,,,"2,500,000.00",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"164,073.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/17577
USD/JPY,,,,-598.05,,,,,,,"6,003,104.42",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"166,862.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/19521
USD/JPY,,,,-199.25,,,,,,,"2,000,000.00",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"165,795.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/18155
KRW/USD,,,,7.23,,,,,,,"233,373,085.63",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,-392.00,ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517
KRW/USD,,,,-176.60,,,,,,,"-5,698,069,341.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,"163,597.00",ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/02/13 NDF,,,,5.97,0.00,,,,,,"-170,004.37","1,455.36",,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/02/13 NDF,,,,,,,,,,,"166,217.00",ACBHG003,NDF,KRW,,"1,133.79",,69310795,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/04/13 NDF,,,,-0.27,0.00,,,,,,"7,611.23",-62.14,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/04/13 NDF,,,,,,,,,,,"168,562.00",ACBHG003,NDF,KRW,,"1,133.79",,69333698,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/05/08 NDF,,,,2.50,0.00,,,,,,"-71,106.39",-194.03,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/05/08 NDF,,,,,,,,,,,"171,787.00",ACBHG003,NDF,KRW,,"1,133.79",,69360479,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/06/30 NDF,,,,-3.08,0.00,,,,,,"87,588.68",934.29,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/06/30 NDF,,,,,,,,,,,"177,838.00",ACBHG003,NDF,KRW,,"1,133.79",,69420715,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/07/12 NDF,,,,-1.92,0.00,,,,,,"54,613.44",-19.56,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/07/12 NDF,,,,,,,,,,,"179,268.00",ACBHG003,NDF,KRW,,"1,133.79",,69435857,/1/11455/11457/11458/17455/18517
KRW/USD,,,,-1.91,,,,,,,"-61,746,514.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,"176,780.00",ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517/20596
USD versus INR 2016/11/15 NDF,,,,4.17,0.00,,,,,,"26,315.99","2,534.49",,,1.00,,0.01,73.54,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus INR 2016/11/15 NDF,,,,,,,,,,,"160,656.00",ACBHG003,NDF,INR,,73.50,,69160017,/1/11455/11457/11458/17455/18517/18595
USD versus INR 2017/01/17 NDF,,,,-13.14,0.00,,,,,,"-82,933.22","-7,532.95",,,1.00,,0.01,73.54,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus INR 2017/01/17 NDF,,,,,,,,,,,"163,167.00",ACBHG003,NDF,INR,,73.50,,69277888,/1/11455/11457/11458/17455/18517/18595
THB/USD,,,,0.05,,,,,,,"-99,999.98",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,THB/USD,,,,,,,,,,,-413.00,ACBHG003,FX,USD,,0.03,,67455073,/1/11455/11457/11458/17455/17937
KRW/USD,,,,-0.17,,,,,,,"-5,532,935.10",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,-408.00,ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/17937
PHP/USD,,,,0.00,,,,,,,"125,213.17",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,PHP/USD,,,,,,,,,,,"156,492.00",ACBHG003,FX,USD,,0.02,,67761156,/1/11455/11457/11458/17455/17937
USD/MYR,,,,48.84,,,,,,,"700,396.20",,,,1.00,,0.24,4.16,,,0.00,0.00,,1.00,Forex,USD/MYR,,,,,,,,,,,"159,176.00",ACBHG003,FX,MYR,,4.16,,67432750,/1/11455/11457/11458/17455/17937
IDR/USD,,,,0.61,,,,,,,"-36,576,015.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,IDR/USD,,,,,,,,,,,"159,896.00",ACBHG003,FX,USD,,0.00,,67472449,/1/11455/11457/11458/17455/17937
USD/KRW,,,,168.71,,,,,,,"-4,801,424.52",,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Forex,USD/KRW,,,,,,,,,,,"159,953.00",ACBHG003,FX,KRW,,"1,133.79",,67417078,/1/11455/11457/11458/17455/17937
THB/USD,,,,0.00,,,,,,,"6,436.36",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,THB/USD,,,,,,,,,,,"176,113.00",ACBHG003,FX,USD,,0.03,,67455073,/1/11455/11457/11458/17455/17937
USD versus KRW 2017/07/31 NDF,,,,0.63,0.00,,,,,,"-17,972.06",-337.53,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/07/31 NDF,,,,,,,,,,,"185,483.00",ACBHG003,NDF,KRW,,"1,133.79",,69513048,/1/11455/11457/11458/17455/17937
USD versus MYR 2017/02/10 NDF,,,,2.39,0.00,,,,,,"34,275.92","-2,300.59",,,1.00,,0.24,4.16,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus MYR 2017/02/10 NDF,,,,,,,,,,,"166,060.00",ACBHG003,NDF,MYR,,4.15,,69309667,/1/11455/11457/11458/17455/19075
USD/MYR,,,,-48.50,,,,,,,"-695,579.14",,,,1.00,,0.24,4.16,,,0.00,0.00,,1.00,Forex,USD/MYR,,,,,,,,,,,"167,452.00",ACBHG003,FX,MYR,,4.16,,67432750,/1/11455/11457/11458/17455/19075
PHP/USD,,,,0.12,,,,,,,"-31,068,713.38",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,PHP/USD,,,,,,,,,,,"171,137.00",ACBHG003,FX,USD,,0.02,,67761156,/1/11455/11457/11458/17455/19075
USD versus PHP 2016/12/28 NDF,,,,0.01,0.00,,,,,,"24,572.89","1,877.21",,,1.00,,0.02,53.93,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus PHP 2016/12/28 NDF,,,,,,,,,,,"164,145.00",ACBHG003,NDF,PHP,,53.93,,69288632,/1/11455/11457/11458/17455/19075/19218
PHP/USD,,,,-0.11,,,,,,,"28,265,778.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,PHP/USD,,,,,,,,,,,"165,089.00",ACBHG003,FX,USD,,0.02,,67761156,/1/11455/11457/11458/17455/19075/19218
SGD/USD,,,,0.22,,,,,,,"9,980.83",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,SGD/USD,,,,,,,,,,,-389.00,ACBHG003,FX,USD,,0.73,,67360926,/1/11455/11457/11458/17455/17857
TWD/USD,,,,8.66,,,,,,,"8,049,999.95",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,TWD/USD,,,,,,,,,,,-393.00,ACBHG003,FX,USD,,0.03,,67359951,/1/11455/11457/11458/17455/19035
USD versus TWD 2017/03/10 NDF,,,,3.40,0.00,,,,,,"-102,106.97",-296.83,,,1.00,,0.03,30.94,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus TWD 2017/03/10 NDF,,,,,,,,,,,"166,133.00",ACBHG003,NDF,TWD,,30.93,,69310180,/1/11455/11457/11458/17455/19035
HKD 1.561 spot - 1y,,,,7.26,-2.30,,,,,,"-504,000,000.00","90,393.31",,,,,0.13,7.84,,,0.00,"-504,000,000.00",,0.01,Interest Rate Swaps,HKD 1.561 spot - 1y,,,,,,,,,,,"211,259.00",ACBHG003,IRS,HKD,"-504,000,000.00",-0.14,,69923492,/1/11455/11457/11458/17495/24501
CNY/USD,,,,"1,753.70",,,,,,,"24,681,968.67",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,-368.00,ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/15235
COLI 0% 2023,"-1,934,977.84","-89,250.21","-40,692.25","-4,498.35","4,866.58","4,866.58","99,764.80","37,065,755.60",,CHINA OVERSEAS LAND & INVEST,-175.00,"-37,065,755.60",50.82,,0.24,"-1,934,977.84",1.00,1.00,0.24,,"-35,000,000.00",0.00,,"2,000.00",Convertibles and Indexed,COLI 0% 2023,"1,864.36",0.12,1.00,"-285,866.00","-1,934,977.84",,"1,934,977.84",,"40,692.25",,"143,890.00",ACBHG003,CB,USD,"-35,000,000.00",105.89,,69029823,/1/11455/11457/11458/17495/15235
USD/HKD,,,,867.82,,,,,,,"-16,700,495.88",,,,1.00,,0.13,7.84,,,0.00,0.00,,1.00,Forex,USD/HKD,,,,,,,,,,,"144,168.00",ACBHG003,FX,HKD,,7.84,,67345666,/1/11455/11457/11458/17495/15235
CHINA LOTSYNERGY 7.5% 2019,"-25,692.04","-1,769.82",-474.58,-320.87,520.56,520.54,"5,205.36","11,703,110.74",,CHINA LOTSYNERGY,-89.70,"-11,701,372.74",0.24,0.08,2.71,"-177,245.50",0.13,7.84,,,"-89,700,000.00",0.00,,"10,000.00",Convertibles and Indexed,CHINA LOTSYNERGY 7.5% 2019,,0.00,0.88,"-2,982.21","-22,605.64",,"177,245.50",,"3,721.07",,"175,793.00",ACBHG003,CB,HKD,"-89,700,000.00",102.04,HKD,69393112,/1/11455/11457/11458/17495/15235
REPO_COLI_BNP6,"2,011,416.85",,,"4,498.35","-4,866.58",,,,,CHINA OVERSEAS LAND & INVEST,175.00,"37,065,755.60",,,0.25,"2,011,416.85",1.00,1.00,,,0.00,"36,942,500.00",,"2,000.00",Total Return Swaps,REPO_COLI_BNP6,"-1,864.36",,1.00,,"2,011,416.85","2,011,416.85",,,,,"268,864.00",ACBHG003,TRS,USD,"36,942,500.00",105.89,,70574283,/1/11455/11457/11458/17495/15235
REPO_CHINALOTS19_BNP2,"26,137.58",,,320.87,-520.54,,,,,CHINA LOTSYNERGY,89.70,"11,701,372.74",,0.08,2.75,"180,319.21",0.13,7.84,,,0.00,"51,281,981.51",,"10,000.00",Total Return Swaps,REPO_CHINALOTS19_BNP2,,,0.88,,"22,997.66","180,319.21",,,,,"268,869.00",ACBHG003,TRS,HKD,"51,281,981.51",102.27,HKD,70574331,/1/11455/11457/11458/17495/15235
AUD/USD,,,,-10.38,,,,,,,"-855,000.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,AUD/USD,,,,,,,,,,,"73,701.00",ACBHG003,FX,USD,,0.77,,67421617,/1/11455/11457/11458/17495/21581/12335
LINC ENERGY 0% 2018,,,,,,,,,,LINC ENERGY LTD,186.67,,,,,,1.00,1.00,,,"27,999,750.00",0.00,,"1,500.00",Convertibles and Indexed,LINC ENERGY 0% 2018,,,1.68,,,,,,,,"87,659.00",ACBHG003,CB,USD,"27,999,750.00",,,68846726,/1/11455/11457/11458/17495/21581/12335
LINC ENERGY LTD,,,,,,,,,,,"-370,688.00",,,,1.00,,0.73,1.38,,,0.00,0.00,,1.00,Shares,LINC ENERGY LTD,,,1.68,,,,,,,LINC.SI,"101,958.00",ACBHG003,EQ,SGD,,,SGD,68882624,/1/11455/11457/11458/17495/21581/12335
SGD/USD,,,,-68.56,,,,,,,"-3,152,000.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,SGD/USD,,,,,,,,,,,"101,969.00",ACBHG003,FX,USD,,0.73,,67360926,/1/11455/11457/11458/17495/21581/12335
EUR/USD,,,,-18.89,,,,,,,"-150,000.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,EUR/USD,,,,,,,,,,,"124,323.00",ACBHG003,FX,USD,,1.17,,67344950,/1/11455/11457/11458/17495/21581/12335
USD/SGD,,,,-213.11,,,,,,,"7,109,517.03",,,,1.00,,0.73,1.38,,,0.00,0.00,,1.00,Forex,USD/SGD,,,,,,,,,,,"126,991.00",ACBHG003,FX,SGD,,1.33,,67360930,/1/11455/11457/11458/17495/21581/12335
NOK/USD,,,,-0.70,,,,,,,"-99,976.41",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,NOK/USD,,,,,,,,,,,-452.00,ACBHG003,FX,USD,,0.12,,68747229,/1/11455/11457/11458/17495/21581/12595
EUR/USD,,,,"-1,028.55",,,,,,,"-8,169,017.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,EUR/USD,,,,,,,,,,,"91,563.00",ACBHG003,FX,USD,,1.17,,67344950,/1/11455/11457/11458/17495/21581/12595
GBP/USD,,,,-0.80,,,,,,,"-9,750.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,GBP/USD,,,,,,,,,,,"123,671.00",ACBHG003,FX,USD,,1.33,,67350312,/1/11455/11457/11458/17495/21581/12595
USD/SEK,,,,-0.06,,,,,,,529.89,,,,1.00,,0.11,8.96,,,0.00,0.00,,1.00,Forex,USD/SEK,,,,,,,,,,,"123,673.00",ACBHG003,FX,SEK,,8.96,,67347219,/1/11455/11457/11458/17495/21581/12595
PLN/EUR,,,,856.44,,,,,,,"-41,493,241.49",,,,1.00,,1.15,0.87,,,0.00,0.00,,1.00,Forex,PLN/EUR,,,,,,,,,,,-402.00,ACBHG003,FX,EUR,,0.23,,68982435,/1/11455/11457/11458/17495/21581/12595/19415
CNH/USD,,,,25.46,,,,,,,"6,721,166.22",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNH/USD,,,,,,,,,,,-395.00,ACBHG003,FX,USD,,0.15,,68828928,/1/11455/11457/11458/17495/21581/12196
CNY/HKD,,,,"-7,703.94",,,,,,,"-121,187,640.86",,,,1.00,,0.13,7.84,,,0.00,0.00,,1.00,Forex,CNY/HKD,,,,,,,,,,,-388.00,ACBHG003,FX,HKD,,1.13,,67418031,/1/11455/11457/11458/17495/21581/12196
CNY/USD,,,,"7,067.01",,,,,,,"99,462,579.82",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,-277.00,ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/21581/12196
CNY/USD,,,,"-22,402.90",,,,,,,"-315,303,301.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,"77,266.00",ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/21581/12196
USD/HKD,,,,"-2,789.37",,,,,,,"53,678,811.98",,,,1.00,,0.13,7.84,,,0.00,0.00,,1.00,Forex,USD/HKD,,,,,,,,,,,"112,920.00",ACBHG003,FX,HKD,,7.84,,67345666,/1/11455/11457/11458/17495/21581/12196
CNH/USD,,,,-7.58,,,,,,,"-2,000,000.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNH/USD,,,,,,,,,,,"154,394.00",ACBHG003,FX,USD,,0.15,,68828928,/1/11455/11457/11458/17495/21581/12196
HKD/USD,,,,-682.70,,,,,,,"-103,007,319.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,HKD/USD,,,,,,,,,,,"198,167.00",ACBHG003,FX,USD,,0.13,,67356767,/1/11455/11457/11458/17495/21581/12196
CNY/USD,,,,"15,732.41",,,,,,,"221,421,369.68",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,-429.00,ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/21581/12196/29035
CNH/USD,,,,514.22,,,,,,,"135,727,251.52",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNH/USD,,,,,,,,,,,-379.00,ACBHG003,FX,USD,,0.15,,68828928,/1/11455/11457/11458/17495/21581/12196/29035
BAOSTEEL/CCB 0% 2018,"848,954.24","137,347.93","4,468.62","-3,864.03",-110.98,-110.30,"-1,378.75","-9,998,104.81",,CHINA CONSTRUCTION BANK-H,50.00,"9,998,104.81",7.07,,1.40,"789,527.45",1.00,1.00,1.40,,"10,000,000.00",0.00,,"2,000.00",Convertibles and Indexed,BAOSTEEL/CCB 0% 2018,,0.04,0.93,"41,671.29","789,527.45","789,527.45",,"4,468.62",,,"141,216.00",ACBHG003,CB,USD,"10,000,000.00",100.00,,69024565,/1/11455/11457/11458/17495/21581/12196/29035
COLI 0% 2023,"2,764,254.05","127,500.30","58,131.79","6,426.22","-6,952.25","-6,952.25","-142,521.14","-52,951,079.44",,CHINA OVERSEAS LAND & INVEST,250.00,"52,951,079.44",50.82,,0.24,"2,764,254.05",1.00,1.00,0.24,,"50,000,000.00",0.00,,"2,000.00",Convertibles and Indexed,COLI 0% 2023,"-2,663.37",0.12,1.00,"408,380.00","2,764,254.05","2,764,254.05",,"58,131.79",,,"142,276.00",ACBHG003,CB,USD,"50,000,000.00",105.89,,69029823,/1/11455/11457/11458/17495/21581/12196/29035
KUNLUN ENERGY 1.625% 2019,"27,100,053.20","207,255.64","59,566.16","-4,601.56",-394.22,-382.85,"-4,594.15","-32,498,473.28",,KUNLUN ENERGY,165.00,"32,496,319.11",6.87,,12.62,"154,214,316.15",0.14,6.94,12.62,,"165,000,000.00",0.00,,"10,000.00",Convertibles and Indexed,KUNLUN ENERGY 1.625% 2019,,0.25,0.82,"9,209,320.59","22,220,570.63","154,214,316.15",,"413,398.66",,,"154,356.00",ACBHG003,CB,CNH,"165,000,000.00",136.32,,69105524,/1/11455/11457/11458/17495/21581/12196/29035
HAITONG (185) (KGI 10/19),"5,432.85",539.23,198.11,"1,084.73",33.83,,,,,,1.00,,,2.27,0.02,"50,683.76",0.13,7.84,,,0.00,0.00,,"1,000,000.00",Interest Rate Derivatives,HAITONG (185) (KGI 10/19),,0.00,1.19,,"6,464.14","50,683.76",,"1,553.32",,,"163,129.00",ACBHG003,ASCO,HKD,"100,000,000.00",,HKD,69277545,/1/11455/11457/11458/17495/21581/12196/29035
CRCC 2021 (185) ASCT (JPM-11/11),"2,600,781.43","47,221.04","15,563.46","-2,032.90",-294.79,,,,,,1.00,"534,135.64",,,5.34,"2,600,781.43",1.00,1.00,,,0.00,0.00,,"50,000.00",Interest Rate Derivatives,CRCC 2021 (185) ASCT (JPM-11/11),-639.01,0.31,1.00,"524,488.02","2,600,781.43","2,600,781.43",,"15,563.46",,,"163,211.00",ACBHG003,ASCO,USD,"5,000,000.00",10.70,,69278236,/1/11455/11457/11458/17495/21581/12196/29035
CRRC 2021 (150) ASCT (KGI-07/14),"1,160,961.49","86,470.60","15,722.23","-1,104.03",-202.65,,,,,,1.00,"115,940.76",,,1.69,"1,555,688.40",1.00,1.00,,,0.00,0.00,,"100,000.00",Interest Rate Derivatives,CRRC 2021 (150) ASCT (KGI-07/14),,0.16,1.34,"108,417.82","1,555,688.40","1,555,688.40",,"15,722.23",,,"185,014.00",ACBHG003,ASCO,USD,"10,000,000.00",1.17,,69530918,/1/11455/11457/11458/17495/21581/12196/29035
KHAZ/BEW 2021 (170) ASCT (JP-07/21),"10,299.79","1,328.12",329.95,263.96,3.79,,,,,,1.00,"13,288.80",,,0.05,"9,372.81",1.00,1.00,,,0.00,0.00,,"50,000.00",Interest Rate Derivatives,KHAZ/BEW 2021 (170) ASCT (JP-07/21),,0.01,0.91,654.86,"9,372.81","9,372.81",,329.95,,,"185,989.00",ACBHG003,ASCO,USD,"5,000,000.00",0.27,,69554559,/1/11455/11457/11458/17495/21581/12196/29035
CCC 1% 2020 KGI ELN,"8,120,550.09","178,231.08","106,219.48","2,674.29","-4,571.96",,,,,,1.10,"35,456,638.14",,11.94,"4,289,844.12","55,779,384.56",0.14,6.94,,,0.00,0.00,,1.00,Packages,CCC 1% 2020 KGI ELN,,,0.99,"2,059,318.44","8,028,014.15","55,779,384.56",,"738,022.78",,,"206,851.00",ACBHG003,ELN,CNY,"220,000,000.00","223,960,000.00",CNY,69867923,/1/11455/11457/11458/17495/21581/12196/29035
KHAZANAH/CITIC SECS 0% 2023,"282,946.47","13,707.17","6,813.08",963.23,"-2,013.75","-2,013.75","-17,116.90","-9,175,017.58",,CITIC SECURITIES CO LTD,50.00,"9,175,017.58",0.13,,0.24,"427,249.17",1.00,1.00,0.24,,"10,000,000.00",0.00,,"2,000.00",Convertibles and Indexed,KHAZANAH/CITIC SECS 0% 2023,-394.34,0.07,1.51,"41,622.28","427,249.17","427,249.17",,"6,813.08",,,"211,277.00",ACBHG003,CB,USD,"10,000,000.00",91.74,,69923552,/1/11455/11457/11458/17495/21581/12196/29035
POWERLONG 0% 2019,330.75,82.02,7.84,"7,697.45","-1,073.42","-1,073.42","-53,670.97","-35,275,420.02",,POWERLONG REAL ESTATE,275.00,"35,270,181.35",5.60,2.74,0.00,"2,592.96",0.13,7.84,,,"275,000,000.00",0.00,,"10,000.00",Convertibles and Indexed,POWERLONG 0% 2019,,0.00,1.00,11.83,330.70,"2,592.96",,61.43,,,"213,905.00",ACBHG003,CB,HKD,"275,000,000.00",100.54,HKD,69956650,/1/11455/11457/11458/17495/21581/12196/29035
ES_CBSW_CSICPSB_0_2025_BNP3,"26,218,978.65",,,"-3,368.62","-21,148.67",,,,,POSTAL SAVINGS BANK OF CHINA-H,435.00,"85,047,171.39",,,6.52,"20,188,613.56",1.00,1.00,,,0.00,"85,355,700.00",,"2,000.00",Total Return Swaps,ES_CBSW_CSICPSB_0_2025_BNP3,,,0.77,,"20,188,613.56","20,188,613.56",,,,,"269,386.00",ACBHG003,TRS,USD,"85,355,700.00",97.74,,70578825,/1/11455/11457/11458/17495/21581/12196/29035
KUNLUN ENERGY,"-26,245,928.36",,,,,,,,,,"-22,786,000.00","-26,242,030.64",,9.03,1.00,"-168,721,215.60",0.13,7.84,,,0.00,0.00,,1.00,Shares,KUNLUN ENERGY,,,0.82,,"-21,518,465.13",,"168,721,215.60",,,0135.HK,"169,455.00",ACBHG003,EQ,HKD,,9.03,HKD,68439845,/1/11455/11457/11458/17495/21581/12196/29338
ES_1658_HK_BTB_BNP,"-17,551,591.92",,,,,,,,,,"-29,783,000.00","-17,548,985.37",,4.62,1.00,"-105,950,044.20",0.13,7.84,,,0.00,"-139,384,440.00",,1.00,Total Return Swaps,ES_1658_HK_BTB_BNP,,,0.77,,"-13,512,718.74",,"105,950,044.20",,,,"270,986.00",ACBHG003,TRS,HKD,"-139,384,440.00",4.62,HKD,70593366,/1/11455/11457/11458/17495/21581/12196/29338
ES_135_HK_BTB_BNP,"-6,047,183.53",,,,,,,,,,"-5,250,000.00","-6,046,285.48",,9.03,1.00,"-38,874,150.00",0.13,7.84,,,0.00,"-46,357,500.00",,1.00,Total Return Swaps,ES_135_HK_BTB_BNP,,,0.82,,"-4,957,954.09",,"38,874,150.00",,,,"270,996.00",ACBHG003,TRS,HKD,"-46,357,500.00",9.03,HKD,70593759,/1/11455/11457/11458/17495/21581/12196/29338
ES_1658HK_BNP(-3m@-0.25),"-1,767,947.34",,,,,,,,,,"-3,000,000.00","-1,767,684.79",,4.62,1.00,"-10,672,200.00",0.13,7.84,,,0.00,"-14,581,326.00",,1.00,Total Return Swaps,ES_1658HK_BNP(-3m@-0.25),,,0.77,,"-1,361,117.29",,"10,672,200.00",,,,"272,558.00",ACBHG003,TRS,HKD,"-14,581,326.00",4.62,HKD,70610370,/1/11455/11457/11458/17495/21581/12196/29338
CNH/USD,,,,-1.03,,,,,,,"-271,197.93",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNH/USD,,,,,,,,,,,-400.00,ACBHG003,FX,USD,,0.15,,68828928,/1/11455/11457/11458/17495/21581/12196/18835/19475
CNY/USD,,,,-184.64,,,,,,,"-2,598,722.26",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,-318.00,ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/21581/12196/13875
CNY/USD,,,,-56.95,,,,,,,"-801,548.65",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,CNY/USD,,,,,,,,,,,-288.00,ACBHG003,FX,USD,,0.14,,67418033,/1/11455/11457/11458/17495/21581/12756/12195
USD/JPY,,,,"-2,906.30",,,,,,,"29,172,903.77",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"268,560.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17495/21581/11877
JPY/USD,,,,148.72,,,,,,,"168,048,860.85",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,JPY/USD,,,,,,,,,,,-317.00,ACBHG003,FX,USD,,0.01,,67351417,/1/11455/11457/11458/17495/21581/11877/12375
JPY/USD,,,,40.25,,,,,,,"45,480,930.51",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,JPY/USD,,,,,,,,,,,-371.00,ACBHG003,FX,USD,,0.01,,67351417,/1/11455/11457/11458/17495/21581/11877/15835/15877/16955
